activity,personality,element,make build,meet people,club
Go for a walk,Keep to myself,Water,Strongly Disagree,Strongly Disagree,Hiking Club
[science thing],Keep to myself,Wind,Strongly agree,Strongly Disagree,Science and Technology Club
Go for a walk,Keep to myself,Wind,Disagree,Strongly Agree,Hiking Club
Go for a walk,Keep to myself,Water,Agree,Neutral,Hiking Club
Go for a walk,Keep to myself,Fire,Neutral,Disagree,Hiking Club
[science thing],Hang out with others,Metal,Strongly agree,Agree,Science and Technology Club
Play an instrument,Hang out with others,Water,Agree,Strongly Agree,Band Club
Go for a walk,Keep to myself,Fire,Strongly agree,Strongly Disagree,Hiking Club
Cook something from a new recipe,Hang out with others,Earth,Agree,Strongly Agree,World Cultures Club
[science thing],Keep to myself,Wind,Strongly agree,Disagree,Science and Technology Club
Play an instrument,Hang out with others,Fire,Agree,Strongly Agree,Hiking Club
Play an instrument,Hang out with others,Metal,Strongly agree,Strongly Agree,Band Club
Play an instrument,Keep to myself,Water,Strongly agree,Agree,Band Club
[science thing],Keep to myself,Earth,Strongly agree,Strongly Agree,Science and Technology Club
Cook something from a new recipe,Hang out with others,Earth,Neutral,Strongly Agree,World Cultures Club
Play an instrument,Keep to myself,Wind,Agree,Strongly Agree,Band Club
Draw a picture or doodle,Hang out with others,Earth,Agree,Agree,Art Club
[science thing],Keep to myself,Fire,Agree,Disagree,Science and Technology Club
Play an instrument,Hang out with others,Metal,Disagree,Disagree,Band Club
Cook something from a new recipe,Hang out with others,Earth,Strongly agree,Strongly Disagree,Art Club
Play an instrument,Hang out with others,Wind,Neutral,Strongly Agree,Band Club
[science thing],Keep to myself,Metal,Agree,Strongly Agree,Hiking Club
Draw a picture or doodle,Keep to myself,Fire,Agree,Neutral,Art Club
Go for a walk,Hang out with others,Fire,Disagree,Strongly Agree,Band Club
Play an instrument,Hang out with others,Metal,Neutral,Neutral,Science and Technology Club
